year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1981,35,0.05,0.05,0.16,0.26,0.89,1.98,3.02,4.12,7.3,7.87,11.52,11.52,11.21,10.84,10.17,6.73,5.68,2.92,1.41,0.99,1.3
1981,36,0.1,0.21,0.05,0.73,1.98,2.66,5.53,6.73,9.8,10.48,10.43,11.11,11.11,8.55,7.3,4.43,3.34,1.77,1.46,1.3,0.94
1981,37,0.16,0.31,0.89,1.36,2.35,4.8,7.3,9.33,11.73,11.11,11.99,10.17,9.65,6.62,4.22,2.4,1.88,1.98,1.09,0.57,0.1
1981,38,0.63,0.94,1.46,2.19,2.97,4.64,8.29,10.43,11.73,12.15,10.84,11.42,7.51,4.64,3.75,2.09,1.62,1.82,0.73,0.16,0.0
1981,39,1.3,1.2,1.41,2.24,3.23,5.06,7.92,9.7,11.99,12.36,12.2,10.06,7.46,5.06,3.08,2.35,1.62,1.3,0.42,0.05,0.0
1981,40,1.46,1.15,1.62,2.4,2.97,5.21,7.77,8.13,12.57,12.98,12.15,10.69,7.66,5.11,2.87,2.4,1.51,1.04,0.31,0.0,0.0
1981,41,0.94,0.78,1.2,3.13,3.7,4.74,7.51,9.85,12.04,12.77,13.09,11.68,6.15,4.69,3.02,2.29,1.2,0.83,0.36,0.0,0.0
1981,42,0.26,0.36,0.68,2.09,2.92,5.63,7.09,11.0,13.4,13.76,14.44,10.53,6.47,3.91,3.02,1.82,1.77,0.52,0.26,0.05,0.0
1981,43,0.1,0.1,0.1,0.63,2.92,3.28,8.6,12.62,15.02,14.49,16.63,10.17,5.63,3.75,2.76,1.82,0.89,0.42,0.05,0.0,0.0
1981,44,0.05,0.05,0.05,0.52,1.67,3.7,9.33,13.24,19.03,15.64,16.37,10.17,4.48,2.61,1.72,1.04,0.31,0.0,0.0,0.0,0.0
1981,45,0.0,0.0,0.1,0.36,1.93,3.91,10.22,16.53,18.09,16.94,16.94,8.19,3.23,2.24,0.89,0.26,0.05,0.1,0.0,0.0,0.0
1981,46,0.0,0.0,0.05,0.57,1.98,5.89,12.1,16.53,20.7,16.32,15.17,6.52,2.35,1.2,0.36,0.16,0.0,0.1,0.0,0.0,0.0
1981,47,0.0,0.0,0.05,0.73,2.66,6.93,13.61,19.71,19.4,16.11,13.14,5.47,1.41,0.52,0.1,0.05,0.05,0.05,0.0,0.0,0.0
1981,48,0.0,0.0,0.05,1.09,3.18,8.92,16.79,20.8,19.5,13.03,11.94,3.75,0.63,0.16,0.05,0.1,0.0,0.0,0.0,0.0,0.0
1981,49,0.0,0.0,0.21,1.09,4.54,12.51,18.09,21.32,17.62,10.53,10.79,2.5,0.63,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1981,50,0.0,0.0,0.21,1.09,5.84,13.56,18.82,19.4,15.12,10.22,12.51,2.61,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,51,0.0,0.05,0.21,1.56,6.93,14.39,18.14,19.55,14.81,9.07,11.42,3.08,0.63,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1981,52,0.05,0.0,0.36,2.09,8.71,15.28,20.75,19.4,13.61,7.4,9.38,2.24,0.52,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1982,1,0.0,0.05,0.31,2.45,11.26,18.4,22.63,18.09,11.78,5.79,7.35,1.09,0.52,0.21,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1982,2,0.0,0.1,0.26,2.03,11.16,22.26,26.33,17.26,9.28,4.95,4.64,1.2,0.47,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1982,3,0.0,0.05,0.26,1.2,11.16,23.57,28.21,16.68,10.17,3.7,3.91,0.78,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,4,0.0,0.0,0.36,1.15,10.38,26.02,29.82,16.48,9.28,3.28,2.29,0.73,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,5,0.0,0.0,0.1,1.09,8.97,29.04,31.07,18.46,6.73,2.87,1.2,0.42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,6,0.0,0.0,0.05,0.89,6.57,24.45,33.11,22.78,7.66,3.28,0.68,0.42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,7,0.0,0.0,0.21,1.04,5.32,20.44,33.21,25.23,9.96,3.65,0.57,0.26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,8,0.0,0.05,0.21,0.99,5.53,17.57,31.23,25.65,14.55,3.39,0.68,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,9,0.0,0.0,0.31,1.56,6.31,16.74,31.7,26.07,13.56,2.92,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,10,0.0,0.0,0.26,1.56,5.94,15.69,29.87,26.07,14.65,4.64,1.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,11,0.0,0.0,0.1,1.36,4.22,14.65,26.17,27.58,16.68,7.25,1.3,0.63,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,12,0.0,0.0,0.1,0.99,4.28,13.14,22.31,26.17,20.44,8.76,2.76,0.89,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,13,0.0,0.0,0.05,1.15,3.49,10.79,17.21,21.48,22.73,14.29,6.26,1.98,0.47,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,14,0.0,0.0,0.16,0.94,3.34,8.19,15.69,20.13,21.32,15.8,9.07,3.7,1.3,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,15,0.0,0.0,0.16,0.99,4.12,8.24,13.61,20.23,21.53,14.34,10.11,4.17,1.82,0.57,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1982,16,0.05,0.0,0.21,1.36,3.86,8.65,13.61,19.19,19.03,15.38,9.75,5.11,2.5,1.04,0.16,0.05,0.05,0.0,0.0,0.0,0.0
1982,17,0.0,0.1,0.42,1.3,3.13,6.78,11.68,14.29,16.89,16.32,11.73,8.13,5.16,2.66,0.78,0.42,0.16,0.05,0.0,0.0,0.0
1982,18,0.0,0.1,0.16,0.42,1.82,3.08,7.66,10.69,14.96,15.85,15.17,11.63,8.29,5.68,2.4,1.25,0.57,0.21,0.05,0.0,0.0
1982,19,0.0,0.0,0.1,0.47,1.36,3.08,5.63,9.7,14.49,14.81,14.08,13.61,9.8,6.67,3.18,1.72,0.89,0.31,0.1,0.0,0.0
1982,20,0.05,0.0,0.31,0.73,1.51,3.18,6.41,9.7,14.81,15.54,14.91,13.4,8.39,5.89,2.55,1.82,0.52,0.1,0.16,0.0,0.0
1982,21,0.05,0.21,0.73,0.99,1.67,3.96,6.05,10.01,13.19,16.79,16.27,13.5,7.56,5.21,2.09,1.09,0.57,0.0,0.05,0.0,0.0
1982,22,0.05,0.21,0.47,1.51,1.67,3.39,6.78,9.85,12.46,17.1,16.27,12.67,8.39,5.27,2.14,1.04,0.57,0.1,0.05,0.0,0.0
1982,23,0.05,0.1,0.47,1.46,2.03,3.18,6.47,8.71,13.4,14.13,16.01,13.76,9.23,6.0,2.97,1.46,0.47,0.1,0.0,0.0,0.0
1982,24,0.05,0.1,0.31,1.15,1.82,3.34,5.94,7.72,11.16,12.88,15.07,12.62,11.63,7.51,5.32,2.35,0.63,0.42,0.0,0.0,0.0
1982,25,0.0,0.16,0.16,0.68,1.15,2.5,5.58,6.57,9.65,11.26,12.67,11.94,12.83,11.11,6.83,4.07,2.09,0.63,0.16,0.0,0.0
1982,26,0.0,0.05,0.26,0.1,0.63,2.03,4.28,5.53,7.51,10.43,11.42,11.11,12.98,12.41,9.85,5.74,3.7,1.62,0.31,0.05,0.0
1982,27,0.0,0.05,0.1,0.16,0.31,1.72,2.92,5.21,6.62,9.8,12.2,10.38,12.67,12.51,10.53,7.46,4.12,2.35,0.68,0.16,0.05
1982,28,0.0,0.0,0.05,0.1,0.36,1.15,3.49,4.95,6.83,9.18,10.9,11.05,12.25,13.09,9.44,8.24,4.69,2.87,0.99,0.26,0.1
1982,29,0.0,0.0,0.0,0.1,0.26,1.09,3.49,4.17,5.79,7.35,10.84,12.15,12.04,12.62,9.65,8.45,6.1,3.65,1.62,0.47,0.16
1982,30,0.0,0.0,0.0,0.1,0.16,1.36,2.03,4.8,5.01,6.67,10.06,11.89,12.67,13.09,10.74,8.65,6.52,4.22,1.62,0.36,0.05
1982,31,0.0,0.0,0.0,0.05,0.26,0.83,1.82,3.28,5.01,6.88,7.98,11.21,12.51,12.83,12.2,10.58,7.82,4.22,2.09,0.36,0.05
1982,32,0.0,0.0,0.0,0.0,0.16,0.94,1.56,3.02,4.38,6.67,7.46,11.16,12.15,13.3,12.83,10.22,8.92,5.16,1.77,0.31,0.0
1982,33,0.0,0.0,0.0,0.0,0.05,0.94,1.36,3.65,3.39,6.78,8.24,11.11,11.68,14.29,13.24,9.96,8.29,4.69,2.14,0.16,0.05
1982,34,0.0,0.0,0.0,0.0,0.21,0.89,1.15,3.08,5.06,6.62,9.49,11.31,12.41,15.12,14.7,8.5,6.05,3.86,1.3,0.21,0.05
1982,35,0.0,0.0,0.0,0.1,0.31,1.04,1.98,2.87,6.73,8.6,10.22,12.04,14.39,15.8,10.9,7.82,4.33,2.09,0.73,0.05,0.0
1982,36,0.0,0.0,0.0,0.16,0.94,1.82,3.18,5.11,8.97,10.9,13.14,14.6,14.18,11.94,8.03,3.91,1.88,0.99,0.21,0.05,0.0
1982,37,0.0,0.0,0.16,0.42,1.98,2.92,4.8,7.56,11.42,12.88,14.23,15.07,13.35,7.77,4.01,1.46,1.2,0.63,0.1,0.05,0.0
1982,38,0.0,0.0,0.16,0.94,1.72,3.08,5.37,8.08,12.67,13.5,14.34,15.07,12.41,6.62,2.87,1.41,0.99,0.47,0.21,0.1,0.0
1982,39,0.0,0.05,0.1,0.99,2.19,3.6,5.42,9.75,13.56,13.82,14.91,14.23,11.31,4.95,2.71,0.94,0.68,0.52,0.26,0.0,0.0
1982,40,0.0,0.1,0.21,1.25,2.24,3.81,8.29,11.31,14.6,15.59,15.12,12.93,7.04,4.22,1.67,0.78,0.42,0.26,0.16,0.0,0.0
1982,41,0.0,0.05,0.89,1.15,1.88,5.16,10.38,13.71,16.74,16.21,14.18,8.86,5.94,2.71,1.15,0.63,0.31,0.05,0.0,0.0,0.0
1982,42,0.0,0.0,0.63,1.98,2.92,8.39,13.4,17.62,17.15,15.9,9.8,5.21,3.86,1.72,0.94,0.42,0.05,0.0,0.0,0.0,0.0
1982,43,0.0,0.0,0.47,2.14,5.21,11.26,15.85,18.87,17.1,13.56,6.99,4.22,2.76,0.99,0.31,0.26,0.0,0.0,0.0,0.0,0.0
1982,44,0.0,0.0,0.57,3.55,10.69,17.57,19.4,17.41,14.65,8.39,4.33,2.45,0.73,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
