year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1981,35,0.0,0.0,0.0,0.14,0.24,1.37,4.0,7.63,10.36,12.95,18.88,14.5,11.39,8.15,6.26,2.35,1.08,0.42,0.28,0.0,0.0
1981,36,0.0,0.05,0.09,0.38,1.98,3.67,7.44,9.89,12.95,13.65,14.88,12.95,8.57,5.98,3.91,2.17,1.04,0.33,0.09,0.0,0.0
1981,37,0.0,0.09,0.52,2.31,3.53,5.46,8.76,11.68,13.56,15.02,13.7,10.26,6.69,3.95,2.68,1.13,0.47,0.09,0.09,0.0,0.0
1981,38,0.0,0.61,1.18,2.35,4.47,6.12,8.76,11.63,13.18,15.11,12.76,10.08,6.07,4.14,2.26,0.75,0.33,0.09,0.09,0.0,0.0
1981,39,0.05,0.8,1.13,2.4,4.52,5.46,7.3,11.16,12.05,12.05,12.1,11.02,8.8,5.04,3.44,1.88,0.52,0.14,0.09,0.05,0.0
1981,40,0.05,0.42,1.22,1.84,3.81,5.89,6.83,9.27,11.39,11.35,12.95,10.97,9.13,6.45,4.19,2.54,1.18,0.42,0.09,0.0,0.0
1981,41,0.0,0.14,0.24,1.22,2.31,4.76,7.67,10.73,10.4,11.96,14.45,11.58,10.59,6.31,4.0,2.82,0.61,0.19,0.0,0.0,0.0
1981,42,0.0,0.0,0.0,0.33,1.27,2.92,6.73,10.08,11.68,12.52,14.45,13.65,11.3,7.06,4.38,2.4,1.04,0.14,0.05,0.0,0.0
1981,43,0.0,0.0,0.0,0.0,0.85,2.4,6.07,9.09,13.18,14.74,17.61,14.27,9.42,7.25,3.39,1.41,0.19,0.09,0.05,0.0,0.0
1981,44,0.0,0.0,0.0,0.05,0.85,2.54,5.74,12.05,14.41,18.5,19.35,12.57,8.57,3.58,1.41,0.19,0.19,0.0,0.0,0.0,0.0
1981,45,0.0,0.0,0.0,0.14,1.32,2.5,6.26,10.31,13.47,17.23,19.73,14.69,8.0,3.91,1.55,0.71,0.14,0.05,0.0,0.0,0.0
1981,46,0.0,0.0,0.0,0.33,1.51,2.97,5.65,8.8,11.72,13.89,20.01,16.15,11.21,4.99,1.69,0.99,0.09,0.0,0.0,0.0,0.0
1981,47,0.0,0.0,0.0,0.38,1.55,4.19,6.12,8.8,11.44,14.74,17.94,16.85,11.02,4.8,1.79,0.28,0.09,0.0,0.0,0.0,0.0
1981,48,0.0,0.0,0.14,0.52,2.21,4.76,6.92,11.21,13.32,15.54,15.82,16.2,8.76,3.67,0.75,0.19,0.0,0.0,0.0,0.0,0.0
1981,49,0.0,0.0,0.19,0.56,3.01,6.03,9.37,12.76,15.4,13.79,14.08,14.03,7.58,2.54,0.52,0.14,0.0,0.0,0.0,0.0,0.0
1981,50,0.0,0.0,0.09,0.8,3.44,7.06,10.22,13.23,14.64,13.65,12.76,12.85,7.2,3.2,0.71,0.09,0.05,0.0,0.0,0.0,0.0
1981,51,0.0,0.0,0.05,0.99,3.48,7.63,11.68,13.65,14.27,13.7,11.72,10.69,6.03,4.38,1.6,0.09,0.05,0.0,0.0,0.0,0.0
1981,52,0.0,0.0,0.0,0.61,2.64,7.82,12.9,16.71,15.77,13.18,10.78,10.31,5.13,2.64,1.27,0.24,0.0,0.0,0.0,0.0,0.0
1982,1,0.0,0.0,0.0,0.28,2.87,5.04,11.77,14.83,15.21,13.51,13.98,11.39,6.07,2.97,1.27,0.56,0.14,0.09,0.0,0.0,0.0
1982,2,0.0,0.0,0.0,0.14,2.87,8.0,13.04,15.54,16.53,14.78,13.23,9.6,4.1,1.65,0.38,0.09,0.05,0.0,0.0,0.0,0.0
1982,3,0.0,0.0,0.0,0.14,2.73,8.95,15.4,17.66,17.61,15.49,12.01,6.07,2.97,0.66,0.28,0.05,0.0,0.0,0.0,0.0,0.0
1982,4,0.0,0.0,0.0,0.09,3.77,11.35,16.95,19.82,17.84,13.56,8.57,5.27,1.98,0.71,0.09,0.0,0.0,0.0,0.0,0.0,0.0
1982,5,0.0,0.0,0.0,0.05,3.72,12.62,19.59,22.32,17.61,11.72,7.2,3.77,1.13,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1982,6,0.0,0.0,0.0,0.09,4.61,13.79,23.87,23.31,18.36,9.42,4.66,1.18,0.52,0.14,0.0,0.05,0.0,0.0,0.0,0.0,0.0
1982,7,0.0,0.0,0.0,0.24,6.36,17.18,28.48,25.71,14.22,5.98,1.41,0.24,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
1982,8,0.0,0.0,0.0,0.19,5.79,19.16,33.24,25.47,12.76,2.73,0.42,0.14,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1982,9,0.0,0.0,0.0,0.56,7.91,24.53,33.0,23.07,8.62,1.74,0.47,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1982,10,0.0,0.0,0.0,0.89,8.66,22.46,32.3,23.92,9.18,1.69,0.66,0.14,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,11,0.0,0.0,0.0,1.27,7.3,17.75,28.63,25.94,15.02,2.78,0.85,0.38,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,12,0.0,0.0,0.09,3.01,9.32,14.88,22.41,25.05,17.61,5.7,1.27,0.42,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,13,0.0,0.05,0.56,4.05,10.08,14.41,19.3,21.66,18.03,8.05,2.82,0.66,0.28,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,14,0.0,0.0,1.22,4.76,11.39,15.21,21.23,21.94,14.41,6.5,2.45,0.66,0.09,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,15,0.0,0.09,0.85,3.91,11.3,15.07,22.83,20.39,14.78,6.87,3.06,0.56,0.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,16,0.0,0.05,0.56,2.59,7.06,13.75,19.54,22.18,17.61,10.36,4.28,1.55,0.42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,17,0.0,0.05,0.33,1.13,4.33,8.85,14.12,18.64,20.29,14.97,9.6,4.76,2.35,0.38,0.14,0.05,0.0,0.0,0.0,0.0,0.0
1982,18,0.0,0.05,0.09,0.61,2.07,3.86,7.86,10.69,16.1,16.62,15.63,11.77,8.62,3.86,1.51,0.42,0.14,0.09,0.0,0.0,0.0
1982,19,0.0,0.05,0.09,0.33,0.75,2.17,4.71,7.16,10.73,15.54,16.48,15.63,11.72,8.76,3.44,1.6,0.61,0.19,0.05,0.0,0.0
1982,20,0.0,0.0,0.0,0.38,0.38,1.37,3.2,6.78,10.08,14.55,15.44,17.37,13.18,10.12,4.24,1.98,0.66,0.19,0.09,0.0,0.0
1982,21,0.0,0.0,0.0,0.05,0.28,0.85,1.98,4.24,7.82,13.09,14.45,18.13,15.77,11.06,6.92,3.67,1.18,0.38,0.14,0.0,0.0
1982,22,0.0,0.0,0.0,0.0,0.14,0.56,1.41,2.92,6.64,10.45,13.7,16.85,16.9,14.12,7.91,5.23,2.31,0.66,0.19,0.0,0.0
1982,23,0.0,0.0,0.0,0.0,0.09,0.19,1.18,2.07,6.26,9.56,13.84,14.74,16.34,14.41,12.43,5.41,2.26,1.04,0.19,0.0,0.0
1982,24,0.0,0.0,0.0,0.0,0.0,0.09,0.75,1.32,3.91,7.67,12.62,14.27,15.54,16.24,14.31,8.43,3.2,1.46,0.19,0.0,0.0
