year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1981,35,0.0,0.0,0.0,0.0,0.22,1.63,2.39,4.84,6.91,9.9,48.04,8.54,7.24,4.84,2.56,1.41,1.09,0.27,0.11,0.0,0.0
1981,36,0.0,0.0,0.49,1.09,2.5,4.84,8.92,11.48,13.82,13.76,22.8,10.55,4.79,2.77,1.14,0.71,0.22,0.11,0.0,0.0,0.0
1981,37,0.11,0.33,1.09,2.45,5.77,9.58,14.09,15.89,15.67,13.28,9.79,5.88,3.65,1.69,0.54,0.16,0.05,0.0,0.0,0.0,0.0
1981,38,0.05,0.33,1.09,3.92,6.58,12.02,15.18,18.39,15.4,10.77,7.07,5.01,2.61,1.03,0.44,0.11,0.0,0.0,0.0,0.0,0.0
1981,39,0.0,0.16,0.6,3.37,6.15,10.01,16.27,17.41,15.4,12.89,8.32,5.82,2.39,0.82,0.33,0.05,0.0,0.0,0.0,0.0,0.0
1981,40,0.0,0.0,0.33,1.14,3.7,7.78,13.33,18.88,17.3,16.05,11.81,5.33,2.83,1.09,0.33,0.11,0.0,0.0,0.0,0.0,0.0
1981,41,0.0,0.0,0.0,0.05,1.14,3.48,7.02,14.74,18.82,21.0,15.4,9.85,5.55,1.69,1.14,0.11,0.0,0.0,0.0,0.0,0.0
1981,42,0.0,0.0,0.0,0.0,0.0,0.82,2.23,7.07,11.92,19.31,23.23,15.51,11.53,5.11,2.39,0.76,0.11,0.0,0.0,0.0,0.0
1981,43,0.0,0.0,0.0,0.0,0.0,0.49,1.58,4.79,7.62,13.87,20.73,19.53,16.65,8.87,4.3,1.47,0.11,0.0,0.0,0.0,0.0
1981,44,0.0,0.0,0.0,0.0,0.0,0.44,1.47,3.1,7.45,12.51,22.14,20.78,17.74,9.74,3.92,0.65,0.05,0.0,0.0,0.0,0.0
1981,45,0.0,0.0,0.0,0.0,0.0,0.27,0.82,2.72,5.88,11.21,27.15,25.73,18.23,6.69,1.14,0.16,0.0,0.0,0.0,0.0,0.0
1981,46,0.0,0.0,0.0,0.0,0.0,0.05,0.6,2.07,5.44,10.72,26.93,31.88,17.79,4.03,0.49,0.0,0.0,0.0,0.0,0.0,0.0
1981,47,0.0,0.0,0.0,0.0,0.0,0.05,0.27,1.03,3.92,9.09,21.6,34.44,23.01,5.82,0.76,0.0,0.0,0.0,0.0,0.0,0.0
1981,48,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.65,3.32,8.11,15.56,33.13,27.26,9.9,1.85,0.0,0.0,0.0,0.0,0.0,0.0
1981,49,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.71,4.03,6.69,18.93,34.49,22.58,10.34,2.01,0.0,0.0,0.0,0.0,0.0,0.0
1981,50,0.0,0.0,0.0,0.0,0.0,0.11,0.11,1.25,4.3,6.91,23.56,37.27,20.89,4.19,1.14,0.22,0.05,0.0,0.0,0.0,0.0
1981,51,0.0,0.0,0.0,0.0,0.0,0.16,0.38,1.36,3.43,6.91,18.93,34.55,23.72,8.16,2.01,0.33,0.05,0.0,0.0,0.0,0.0
1981,52,0.0,0.0,0.0,0.0,0.05,0.27,0.87,2.45,5.44,8.65,17.9,28.02,23.07,9.25,3.05,0.76,0.22,0.0,0.0,0.0,0.0
1982,1,0.0,0.0,0.0,0.11,0.16,0.92,2.77,6.42,9.41,13.0,16.92,20.02,18.77,8.54,2.12,0.6,0.22,0.0,0.0,0.0,0.0
1982,2,0.0,0.0,0.05,0.27,0.98,1.69,5.77,10.66,12.46,14.91,12.62,15.51,14.09,7.51,2.56,0.71,0.22,0.0,0.0,0.0,0.0
1982,3,0.0,0.0,0.05,0.38,1.25,5.01,10.39,15.45,15.51,15.18,15.72,11.48,6.75,2.18,0.6,0.05,0.0,0.0,0.0,0.0,0.0
1982,4,0.0,0.0,0.0,0.27,2.12,8.92,19.15,20.13,21.76,15.23,7.89,3.43,0.98,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,5,0.0,0.0,0.0,0.0,3.05,14.31,27.37,27.37,16.21,8.22,2.77,0.6,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,6,0.0,0.0,0.0,0.0,2.18,16.49,34.6,27.53,13.17,4.73,1.03,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,7,0.0,0.0,0.0,0.05,2.23,21.22,42.06,23.94,8.43,1.74,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,8,0.0,0.0,0.0,0.05,2.12,22.14,44.02,24.43,5.66,1.47,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,9,0.0,0.0,0.0,0.0,1.74,20.89,44.4,24.37,6.69,1.74,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,10,0.0,0.0,0.0,0.0,0.92,11.7,39.99,32.43,12.19,2.23,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,11,0.0,0.0,0.0,0.05,0.49,6.58,31.12,38.57,17.9,4.3,0.82,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,12,0.0,0.0,0.0,0.0,0.33,4.9,21.22,33.79,27.86,9.09,2.18,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,13,0.0,0.0,0.0,0.05,1.2,6.75,21.22,30.96,23.94,12.19,2.94,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,14,0.0,0.0,0.0,0.49,3.32,10.99,24.7,27.86,18.66,10.77,2.56,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,15,0.0,0.11,0.38,2.01,7.02,16.0,24.16,23.18,15.89,7.94,2.5,0.71,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,16,0.05,0.11,0.33,3.16,9.14,13.98,22.03,21.38,14.74,8.49,5.93,0.54,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,17,0.0,0.05,0.05,1.69,6.31,11.97,19.1,21.93,17.9,10.72,9.25,0.92,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,18,0.0,0.0,0.05,0.54,3.65,8.65,15.67,23.29,20.95,13.55,11.26,2.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,19,0.0,0.0,0.0,0.27,1.52,5.66,9.68,18.93,21.6,19.53,13.82,6.37,2.12,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,20,0.0,0.0,0.0,0.0,0.65,1.96,5.55,10.94,18.12,22.58,18.61,12.68,6.2,2.07,0.49,0.16,0.0,0.0,0.0,0.0,0.0
