year,week,SMN,SMT,VCI,TCI,VHI
1981,35,0.255,287.58,4.23,91.31,47.77
1981,36,0.264,288.32,10.11,78.76,44.43
1981,37,0.268,288.56,18.23,62.33,40.28
1981,38,0.272,288.41,29.04,46.7,37.87
1981,39,0.271,287.54,38.87,35.38,37.12
1981,40,0.265,285.92,47.51,30.67,39.09
1981,41,0.254,283.26,54.4,37.83,46.12
1981,42,0.234,280.0,57.84,52.78,55.31
1981,43,0.206,276.86,57.33,58.42,57.87
1981,44,0.172,273.21,51.94,61.99,56.96
1981,45,0.139,269.84,45.2,62.64,53.92
1981,46,0.111,266.78,37.55,59.56,48.56
1981,47,0.092,263.81,32.88,59.28,46.08
1981,48,0.078,261.53,29.57,58.97,44.27
1981,49,0.069,259.7,27.78,59.06,43.42
1981,50,0.066,258.08,31.12,60.89,46.01
1981,51,0.062,257.14,31.72,61.42,46.57
1981,52,0.059,257.25,32.05,58.33,45.19
1982,1,0.06,258.8,38.36,47.85,43.1
1982,2,0.061,260.12,38.92,42.42,40.67
1982,3,0.059,260.66,36.22,42.39,39.3
1982,4,0.058,261.71,35.32,41.06,38.19
1982,5,0.053,261.2,31.66,48.09,39.88
1982,6,0.049,261.38,26.05,53.1,39.58
1982,7,0.048,262.4,22.34,56.26,39.3
1982,8,0.049,264.1,20.55,56.89,38.72
1982,9,0.054,266.82,20.26,51.61,35.94
1982,10,0.062,269.94,21.45,45.16,33.31
1982,11,0.077,272.94,25.49,38.56,32.02
1982,12,0.096,275.41,29.59,38.38,33.98
1982,13,0.11,277.77,29.73,39.53,34.63
1982,14,0.123,280.08,27.13,41.82,34.47
1982,15,0.136,281.67,20.48,51.65,36.06
1982,16,0.157,283.51,16.7,62.02,39.36
1982,17,0.183,285.45,13.99,72.5,43.24
1982,18,0.224,287.57,17.03,74.05,45.54
1982,19,0.27,289.45,19.93,71.65,45.79
1982,20,0.314,290.95,22.76,69.65,46.21
1982,21,0.349,291.7,23.86,70.9,47.38
1982,22,0.375,292.17,24.26,69.94,47.1
1982,23,0.392,292.38,22.79,72.49,47.64
1982,24,0.399,292.3,20.42,78.27,49.35
1982,25,0.4,292.17,18.86,84.94,51.9
1982,26,0.401,292.03,19.15,88.39,53.77
1982,27,0.402,292.23,21.33,87.64,54.48
1982,28,0.407,292.78,28.39,84.63,56.51
1982,29,0.412,293.33,37.38,82.39,59.88
1982,30,0.413,293.47,44.1,82.83,63.46
1982,31,0.412,293.65,48.16,80.37,64.27
1982,32,0.403,293.66,46.89,77.32,62.1
1982,33,0.396,293.53,48.32,70.98,59.65
1982,34,0.391,293.21,51.11,61.2,56.16
1982,35,0.39,292.63,58.15,51.69,54.92
1982,36,0.387,291.9,66.02,42.24,54.13
1982,37,0.373,290.83,71.04,36.61,53.82
1982,38,0.362,289.3,76.51,36.07,56.29
1982,39,0.34,287.62,76.82,34.39,55.6
1982,40,0.31,285.91,73.8,30.73,52.26
1982,41,0.28,284.01,70.81,28.06,49.43
1982,42,0.249,282.14,67.27,26.39,46.83
1982,43,0.222,279.72,66.97,28.64,47.81
1982,44,0.197,277.67,67.95,22.52,45.24
1982,45,0.167,276.29,64.52,15.1,39.81
1982,46,0.142,274.3,60.46,13.48,36.97
1982,47,0.115,272.02,51.04,16.04,33.54
1982,48,0.094,269.73,42.87,21.58,32.23
1982,49,0.076,267.16,33.74,28.22,30.98
1982,50,0.065,264.93,29.23,33.24,31.23
1982,51,0.06,262.98,28.81,37.28,33.05
1982,52,0.052,261.46,24.8,40.58,32.69
1983,1,0.047,261.06,22.59,37.65,30.12
1983,2,0.046,260.76,21.77,38.84,30.31
1983,3,0.048,260.46,23.88,42.62,33.25
1983,4,0.047,260.03,23.91,48.37,36.14
1983,5,0.045,259.89,23.88,53.61,38.74
1983,6,0.044,260.64,21.73,56.09,38.91
1983,7,0.043,261.37,18.82,60.67,39.74
1983,8,0.045,262.18,17.7,65.62,41.66
1983,9,0.051,264.19,18.8,64.25,41.52
1983,10,0.06,266.77,20.83,60.37,40.6
1983,11,0.072,270.11,23.25,52.83,38.04
1983,12,0.091,273.73,27.4,47.35,37.38
1983,13,0.117,277.61,33.75,41.17,37.46
1983,14,0.148,281.38,40.2,34.51,37.35
1983,15,0.183,284.34,44.93,32.9,38.91
1983,16,0.214,286.35,45.42,38.72,42.07
1983,17,0.25,288.73,46.86,41.24,44.05
1983,18,0.286,290.69,46.83,41.95,44.39
1983,19,0.322,292.16,46.04,42.63,44.33
1983,20,0.355,293.06,44.81,46.61,45.71
1983,21,0.377,293.49,40.02,51.7,45.86
1983,22,0.395,293.93,36.72,51.41,44.07
1983,23,0.402,293.87,29.67,56.51,43.09
1983,24,0.4,293.54,20.58,64.72,42.65
1983,25,0.398,293.89,17.09,65.86,41.48
1983,26,0.399,294.4,16.65,62.96,39.8
1983,27,0.397,294.69,17.36,62.53,39.95
