year,week,SMN,SMT,VCI,TCI,VHI
1981,35,0.216,296.41,29.11,74.15,51.63
1981,36,0.212,296.12,33.7,67.11,50.41
1981,37,0.21,295.54,39.1,60.25,49.67
1981,38,0.207,294.59,44.1,56.37,50.24
1981,39,0.205,293.2,49.41,55.02,52.21
1981,40,0.202,291.44,53.6,52.41,53.01
1981,41,0.197,289.14,56.76,47.77,52.26
1981,42,0.19,286.2,58.87,47.18,53.03
1981,43,0.175,283.02,57.02,48.89,52.96
1981,44,0.154,279.71,52.32,48.55,50.44
1981,45,0.127,276.38,44.89,50.27,47.58
1981,46,0.108,273.52,40.4,51.81,46.1
1981,47,0.098,271.25,40.49,52.99,46.74
1981,48,0.09,269.46,41.39,52.95,47.17
1981,49,0.083,268.42,42.16,47.75,44.96
1981,50,0.079,267.09,44.72,44.07,44.4
1981,51,0.075,266.33,45.48,41.7,43.59
1981,52,0.07,266.01,42.88,40.35,41.61
1982,1,0.067,266.69,41.66,37.5,39.58
1982,2,0.064,267.8,41.9,34.64,38.27
1982,3,0.061,268.21,40.71,33.8,37.26
1982,4,0.055,268.14,35.53,35.58,35.55
1982,5,0.048,268.13,30.39,37.23,33.81
1982,6,0.045,268.56,27.46,39.23,33.35
1982,7,0.045,269.52,24.81,40.23,32.52
1982,8,0.049,271.19,24.53,40.06,32.3
1982,9,0.052,272.64,23.39,42.25,32.82
1982,10,0.059,275.04,22.38,42.31,32.34
1982,11,0.075,277.91,25.94,40.3,33.12
1982,12,0.093,281.51,28.22,38.25,33.23
1982,13,0.107,284.45,27.06,37.81,32.44
1982,14,0.12,286.54,25.56,39.95,32.76
1982,15,0.127,287.95,23.26,49.19,36.23
1982,16,0.145,289.21,20.79,64.14,42.47
1982,17,0.169,290.19,19.37,77.76,48.57
1982,18,0.196,291.97,19.37,80.51,49.94
1982,19,0.225,294.18,20.37,77.06,48.71
1982,20,0.248,295.4,21.03,75.36,48.2
1982,21,0.267,295.99,22.19,76.65,49.42
1982,22,0.279,296.11,23.37,81.15,52.26
1982,23,0.284,296.02,24.05,86.07,55.06
1982,24,0.29,296.37,26.65,86.57,56.61
1982,25,0.295,296.59,29.53,88.87,59.2
1982,26,0.296,296.68,32.59,90.81,61.7
1982,27,0.295,296.9,34.88,91.5,63.19
1982,28,0.289,297.01,36.05,91.16,63.61
1982,29,0.292,297.53,41.37,87.21,64.29
1982,30,0.296,298.25,46.55,80.87,63.71
1982,31,0.293,298.89,49.4,73.97,61.68
1982,32,0.289,299.52,52.73,65.46,59.09
1982,33,0.285,299.84,55.2,58.35,56.77
1982,34,0.277,299.91,56.03,53.0,54.51
1982,35,0.266,299.78,56.21,46.4,51.31
1982,36,0.252,299.35,54.86,38.14,46.5
1982,37,0.232,298.56,50.41,32.34,41.37
1982,38,0.214,297.34,47.04,29.92,38.48
1982,39,0.195,295.54,42.82,31.19,37.0
1982,40,0.17,293.36,35.74,32.86,34.3
1982,41,0.146,291.29,30.03,27.55,28.79
1982,42,0.126,288.79,27.17,25.14,26.16
1982,43,0.108,285.95,25.11,28.53,26.82
1982,44,0.091,283.67,22.74,25.24,23.99
1982,45,0.076,281.81,19.92,22.74,21.33
1982,46,0.062,278.71,17.11,28.72,22.92
1982,47,0.051,274.89,14.38,38.79,26.59
1982,48,0.045,270.99,14.13,48.26,31.2
1982,49,0.04,267.88,13.85,51.44,32.65
1982,50,0.036,265.32,12.54,51.81,32.17
1982,51,0.036,263.48,14.41,52.37,33.39
1982,52,0.037,262.83,16.05,50.7,33.38
1983,1,0.036,263.18,17.58,48.33,32.95
1983,2,0.036,264.11,21.25,45.94,33.6
1983,3,0.037,264.51,23.84,44.72,34.28
1983,4,0.039,264.76,25.29,45.05,35.17
1983,5,0.041,266.47,26.02,41.86,33.94
